ID,Category,Prompt,Intent,Solution,Severity,Response Type,Keywords
1055,Emotional Venting,I am really upset and frustrated about things 49,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1056,Support Seeking,I feel stressed and need help with situation 50,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1057,Support Seeking,I feel stressed and need help with situation 51,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1058,Support Seeking,I feel stressed and need help with situation 52,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1059,Support Seeking,I feel stressed and need help with situation 53,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1060,Emotional Venting,I am really upset and frustrated about things 54,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1061,Informational,Can you explain mental health topic 55 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1062,Emotional Venting,I am really upset and frustrated about things 56,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1063,Emotional Venting,I am really upset and frustrated about things 57,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1064,Support Seeking,I feel stressed and need help with situation 58,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1065,Emotional Venting,I am really upset and frustrated about things 59,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1066,Support Seeking,I feel stressed and need help with situation 60,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1067,Crisis,I feel like I might harm myself 61,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1068,Crisis,I feel like I might harm myself 62,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1069,Support Seeking,I feel stressed and need help with situation 63,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1070,Emotional Venting,I am really upset and frustrated about things 64,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1071,Crisis,I feel like I might harm myself 65,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1072,Emotional Venting,I am really upset and frustrated about things 66,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1073,Crisis,I feel like I might harm myself 67,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1074,Informational,Can you explain mental health topic 68 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1075,Support Seeking,I feel stressed and need help with situation 69,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1076,Support Seeking,I feel stressed and need help with situation 70,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1077,Crisis,I feel like I might harm myself 71,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1078,Support Seeking,I feel stressed and need help with situation 72,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1079,Crisis,I feel like I might harm myself 73,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1080,Support Seeking,I feel stressed and need help with situation 74,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1081,Informational,Can you explain mental health topic 75 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1082,Support Seeking,I feel stressed and need help with situation 76,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1083,Informational,Can you explain mental health topic 77 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1084,Emotional Venting,I am really upset and frustrated about things 78,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1085,Support Seeking,I feel stressed and need help with situation 79,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1086,Crisis,I feel like I might harm myself 80,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1087,Support Seeking,I feel stressed and need help with situation 81,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1088,Emotional Venting,I am really upset and frustrated about things 82,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1089,Support Seeking,I feel stressed and need help with situation 83,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1090,Crisis,I feel like I might harm myself 84,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1091,Informational,Can you explain mental health topic 85 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1092,Crisis,I feel like I might harm myself 86,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1093,Crisis,I feel like I might harm myself 87,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1094,Support Seeking,I feel stressed and need help with situation 88,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1095,Support Seeking,I feel stressed and need help with situation 89,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1096,Emotional Venting,I am really upset and frustrated about things 90,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1097,Crisis,I feel like I might harm myself 91,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1098,Informational,Can you explain mental health topic 92 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1099,Informational,Can you explain mental health topic 93 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1100,Emotional Venting,I am really upset and frustrated about things 94,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1101,Emotional Venting,I am really upset and frustrated about things 95,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1102,Emotional Venting,I am really upset and frustrated about things 96,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1103,Support Seeking,I feel stressed and need help with situation 97,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1104,Crisis,I feel like I might harm myself 98,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1105,Informational,Can you explain mental health topic 99 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1106,Crisis,I feel like I might harm myself 100,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1107,Crisis,I feel like I might harm myself 101,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1108,Informational,Can you explain mental health topic 102 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1109,Informational,Can you explain mental health topic 103 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1110,Informational,Can you explain mental health topic 104 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1111,Emotional Venting,I am really upset and frustrated about things 105,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1112,Crisis,I feel like I might harm myself 106,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1113,Crisis,I feel like I might harm myself 107,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1114,Crisis,I feel like I might harm myself 108,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1115,Crisis,I feel like I might harm myself 109,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1116,Crisis,I feel like I might harm myself 110,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1117,Emotional Venting,I am really upset and frustrated about things 111,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1118,Crisis,I feel like I might harm myself 112,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1119,Support Seeking,I feel stressed and need help with situation 113,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1120,Crisis,I feel like I might harm myself 114,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1121,Crisis,I feel like I might harm myself 115,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1122,Informational,Can you explain mental health topic 116 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1123,Support Seeking,I feel stressed and need help with situation 117,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1124,Support Seeking,I feel stressed and need help with situation 118,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1125,Crisis,I feel like I might harm myself 119,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1126,Informational,Can you explain mental health topic 120 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1127,Crisis,I feel like I might harm myself 121,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1128,Support Seeking,I feel stressed and need help with situation 122,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1129,Support Seeking,I feel stressed and need help with situation 123,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1130,Crisis,I feel like I might harm myself 124,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1131,Emotional Venting,I am really upset and frustrated about things 125,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1132,Support Seeking,I feel stressed and need help with situation 126,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1133,Crisis,I feel like I might harm myself 127,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1134,Informational,Can you explain mental health topic 128 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1135,Crisis,I feel like I might harm myself 129,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1136,Support Seeking,I feel stressed and need help with situation 130,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1137,Crisis,I feel like I might harm myself 131,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1138,Crisis,I feel like I might harm myself 132,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1139,Support Seeking,I feel stressed and need help with situation 133,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1140,Crisis,I feel like I might harm myself 134,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1141,Emotional Venting,I am really upset and frustrated about things 135,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1142,Informational,Can you explain mental health topic 136 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1143,Support Seeking,I feel stressed and need help with situation 137,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1144,Informational,Can you explain mental health topic 138 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1145,Emotional Venting,I am really upset and frustrated about things 139,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1146,Crisis,I feel like I might harm myself 140,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1147,Support Seeking,I feel stressed and need help with situation 141,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1148,Support Seeking,I feel stressed and need help with situation 142,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1149,Emotional Venting,I am really upset and frustrated about things 143,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1150,Informational,Can you explain mental health topic 144 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1151,Support Seeking,I feel stressed and need help with situation 145,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1152,Informational,Can you explain mental health topic 146 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1153,Emotional Venting,I am really upset and frustrated about things 147,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1154,Emotional Venting,I am really upset and frustrated about things 148,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1155,Crisis,I feel like I might harm myself 149,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1156,Emotional Venting,I am really upset and frustrated about things 150,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1157,Emotional Venting,I am really upset and frustrated about things 151,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1158,Support Seeking,I feel stressed and need help with situation 152,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1159,Support Seeking,I feel stressed and need help with situation 153,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1160,Support Seeking,I feel stressed and need help with situation 154,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1161,Crisis,I feel like I might harm myself 155,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1162,Crisis,I feel like I might harm myself 156,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1163,Support Seeking,I feel stressed and need help with situation 157,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1164,Crisis,I feel like I might harm myself 158,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1165,Emotional Venting,I am really upset and frustrated about things 159,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1166,Support Seeking,I feel stressed and need help with situation 160,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1167,Informational,Can you explain mental health topic 161 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1168,Emotional Venting,I am really upset and frustrated about things 162,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1169,Informational,Can you explain mental health topic 163 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1170,Informational,Can you explain mental health topic 164 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1171,Emotional Venting,I am really upset and frustrated about things 165,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1172,Informational,Can you explain mental health topic 166 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1173,Informational,Can you explain mental health topic 167 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1174,Support Seeking,I feel stressed and need help with situation 168,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1175,Informational,Can you explain mental health topic 169 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1176,Crisis,I feel like I might harm myself 170,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1177,Informational,Can you explain mental health topic 171 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1178,Emotional Venting,I am really upset and frustrated about things 172,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1179,Support Seeking,I feel stressed and need help with situation 173,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1180,Informational,Can you explain mental health topic 174 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1181,Emotional Venting,I am really upset and frustrated about things 175,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1182,Crisis,I feel like I might harm myself 176,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1183,Emotional Venting,I am really upset and frustrated about things 177,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1184,Support Seeking,I feel stressed and need help with situation 178,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1185,Support Seeking,I feel stressed and need help with situation 179,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1186,Emotional Venting,I am really upset and frustrated about things 180,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1187,Crisis,I feel like I might harm myself 181,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1188,Informational,Can you explain mental health topic 182 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1189,Support Seeking,I feel stressed and need help with situation 183,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1190,Support Seeking,I feel stressed and need help with situation 184,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1191,Support Seeking,I feel stressed and need help with situation 185,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1192,Emotional Venting,I am really upset and frustrated about things 186,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1193,Support Seeking,I feel stressed and need help with situation 187,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1194,Crisis,I feel like I might harm myself 188,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1195,Support Seeking,I feel stressed and need help with situation 189,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1196,Crisis,I feel like I might harm myself 190,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1197,Support Seeking,I feel stressed and need help with situation 191,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1198,Crisis,I feel like I might harm myself 192,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1199,Emotional Venting,I am really upset and frustrated about things 193,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1200,Crisis,I feel like I might harm myself 194,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1201,Emotional Venting,I am really upset and frustrated about things 195,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1202,Emotional Venting,I am really upset and frustrated about things 196,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1203,Support Seeking,I feel stressed and need help with situation 197,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1204,Emotional Venting,I am really upset and frustrated about things 198,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1205,Support Seeking,I feel stressed and need help with situation 199,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1206,Crisis,I feel like I might harm myself 200,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1207,Informational,Can you explain mental health topic 201 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1208,Emotional Venting,I am really upset and frustrated about things 202,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1209,Emotional Venting,I am really upset and frustrated about things 203,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1210,Support Seeking,I feel stressed and need help with situation 204,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1211,Crisis,I feel like I might harm myself 205,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1212,Emotional Venting,I am really upset and frustrated about things 206,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1213,Emotional Venting,I am really upset and frustrated about things 207,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1214,Support Seeking,I feel stressed and need help with situation 208,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1215,Support Seeking,I feel stressed and need help with situation 209,stress_support,It sounds like you're going through something difficult. Try taking small steps and consider reaching out to someone you trust.,medium,emotional_support,"i, feel, stressed, and"
1216,Crisis,I feel like I might harm myself 210,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1217,Informational,Can you explain mental health topic 211 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1218,Informational,Can you explain mental health topic 212 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
1219,Emotional Venting,I am really upset and frustrated about things 213,vent_frustration,That sounds really tough. Your feelings are valid and it's okay to express them.,medium,emotional_support,"i, am, really, upset"
1220,Crisis,I feel like I might harm myself 214,crisis_selfharm,I'm really sorry you're feeling this way. Please reach out immediately to someone you trust or emergency services.,high,crisis_support,"i, feel, like, i"
1221,Informational,Can you explain mental health topic 215 in simple terms?,query_education,This is an informational query. You can understand it better by referring to reliable sources or consulting a professional.,low,info,"can, you, explain, mental"
